	lat	long
34	37.8376611	-122.4793772
47	37.4186982	-122.1352589
52	37.6961445	-122.051321
72	37.433209	-122.4282018
77	37.7204659	-121.9030416
78	37.7971118	-122.4578252
79	38.1087844	-122.8707882
94	38.0843789	-122.8097093
96	37.3575198	-121.94697
99	38.1015277	-122.8592384
100	37.9853176	-122.5259834
110	38.0878429	-122.8410002
113	37.4105662	-122.065553
119	38.106189	-122.8712282
127	38.0717013	-122.8035327
128	38.0408283	-122.7884277
148	38.0821411	-122.8149209
153	37.8748914	-122.4575448
155	37.8974867	-122.63844
159	38.1070379	-122.8628638
